kernel,nb_partitions,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil_starpu,64,4096,4096,100,10,0,1.019092e+00,0
stencil_starpu,64,4096,4096,100,10,1,1.015421e+00,0
stencil_starpu,64,4096,4096,100,10,2,1.405719e+00,0
stencil_starpu,64,4096,4096,100,10,3,1.327597e+00,0
stencil_starpu,64,4096,4096,100,10,4,1.343700e+00,0
stencil_starpu,64,4096,4096,100,10,5,1.336803e+00,0
stencil_starpu,64,4096,4096,100,10,6,1.369519e+00,0
stencil_starpu,64,4096,4096,100,10,7,1.320679e+00,0
stencil_starpu,64,4096,4096,100,10,8,1.381155e+00,0
stencil_starpu,64,4096,4096,100,10,9,1.336775e+00,0
stencil_starpu,128,4096,4096,100,10,0,1.108491e+00,0
stencil_starpu,128,4096,4096,100,10,1,1.155327e+00,0
stencil_starpu,128,4096,4096,100,10,2,1.332007e+00,0
stencil_starpu,128,4096,4096,100,10,3,1.316111e+00,0
stencil_starpu,128,4096,4096,100,10,4,1.296394e+00,0
stencil_starpu,128,4096,4096,100,10,5,1.343703e+00,0
stencil_starpu,128,4096,4096,100,10,6,1.419037e+00,0
stencil_starpu,128,4096,4096,100,10,7,1.423840e+00,0
stencil_starpu,128,4096,4096,100,10,8,1.392752e+00,0
stencil_starpu,128,4096,4096,100,10,9,1.436436e+00,0
stencil_starpu,256,4096,4096,100,10,0,1.275767e+00,0
stencil_starpu,256,4096,4096,100,10,1,1.489790e+00,0
stencil_starpu,256,4096,4096,100,10,2,1.587807e+00,0
stencil_starpu,256,4096,4096,100,10,3,1.625732e+00,0
stencil_starpu,256,4096,4096,100,10,4,1.647501e+00,0
stencil_starpu,256,4096,4096,100,10,5,1.652711e+00,0
stencil_starpu,256,4096,4096,100,10,6,1.643505e+00,0
stencil_starpu,256,4096,4096,100,10,7,1.667937e+00,0
stencil_starpu,256,4096,4096,100,10,8,1.619351e+00,0
stencil_starpu,256,4096,4096,100,10,9,1.363001e+00,0
stencil_starpu,512,4096,4096,100,10,0,2.508743e+00,0
stencil_starpu,512,4096,4096,100,10,1,3.110967e+00,0
stencil_starpu,512,4096,4096,100,10,2,3.116754e+00,0
stencil_starpu,512,4096,4096,100,10,3,2.404760e+00,0
stencil_starpu,512,4096,4096,100,10,4,3.261474e+00,0
stencil_starpu,512,4096,4096,100,10,5,3.145026e+00,0
stencil_starpu,512,4096,4096,100,10,6,2.565065e+00,0
stencil_starpu,512,4096,4096,100,10,7,3.375792e+00,0
stencil_starpu,512,4096,4096,100,10,8,3.155724e+00,0
stencil_starpu,512,4096,4096,100,10,9,2.426973e+00,0
stencil_starpu,1024,4096,4096,100,10,0,5.674974e+00,0
stencil_starpu,1024,4096,4096,100,10,1,6.281335e+00,0
stencil_starpu,1024,4096,4096,100,10,2,5.945187e+00,0
stencil_starpu,1024,4096,4096,100,10,3,5.680532e+00,0
stencil_starpu,1024,4096,4096,100,10,4,5.866762e+00,0
stencil_starpu,1024,4096,4096,100,10,5,5.333043e+00,0
stencil_starpu,1024,4096,4096,100,10,6,5.228259e+00,0
stencil_starpu,1024,4096,4096,100,10,7,5.493039e+00,0
stencil_starpu,1024,4096,4096,100,10,8,5.778486e+00,0
stencil_starpu,1024,4096,4096,100,10,9,6.202564e+00,0
stencil_starpu,2048,4096,4096,100,10,0,9.161351e+00,0
