kernel,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,131072,4096,10,8,1.685394e-01,0
histogram,131072,4096,10,9,1.684425e-01,0
histogram,131072,8192,10,0,3.366807e-01,0
histogram,131072,8192,10,1,3.370260e-01,0
histogram,131072,8192,10,2,3.375002e-01,0
histogram,131072,8192,10,3,3.366484e-01,0
histogram,131072,8192,10,4,3.366663e-01,0
histogram,131072,8192,10,5,3.361387e-01,0
histogram,131072,8192,10,6,3.359054e-01,0
histogram,131072,8192,10,7,3.370596e-01,0
histogram,131072,8192,10,8,3.363101e-01,0
histogram,131072,8192,10,9,3.362230e-01,0
histogram,131072,16384,10,0,6.724778e-01,0
histogram,131072,16384,10,1,6.731781e-01,0
histogram,131072,16384,10,2,6.739982e-01,0
histogram,131072,16384,10,3,6.721998e-01,0
histogram,131072,16384,10,4,6.724761e-01,0
histogram,131072,16384,10,5,6.721969e-01,0
histogram,131072,16384,10,6,6.716541e-01,0
histogram,131072,16384,10,7,6.738453e-01,0
histogram,131072,16384,10,8,6.726333e-01,0
histogram,131072,16384,10,9,6.724987e-01,0
histogram,131072,32768,10,0,1.343900e+00,0
histogram,131072,32768,10,1,1.345031e+00,0
histogram,131072,32768,10,2,1.347123e+00,0
histogram,131072,32768,10,3,1.343292e+00,0
histogram,131072,32768,10,4,1.344102e+00,0
histogram,131072,32768,10,5,1.343408e+00,0
histogram,131072,32768,10,6,1.341317e+00,0
histogram,131072,32768,10,7,1.348925e+00,0
histogram,131072,32768,10,8,1.344551e+00,0
histogram,131072,32768,10,9,1.343440e+00,0
histogram,131072,65536,10,0,2.698476e+00,0
histogram,131072,65536,10,1,2.696838e+00,0
histogram,131072,65536,10,2,2.702141e+00,0
histogram,131072,65536,10,3,2.691868e+00,0
histogram,131072,65536,10,4,2.693759e+00,0
histogram,131072,65536,10,5,2.694145e+00,0
histogram,131072,65536,10,6,2.634318e+00,0
histogram,131072,65536,10,7,2.631624e+00,0
histogram,131072,65536,10,8,2.630853e+00,0
histogram,131072,65536,10,9,2.628615e+00,0
histogram,131072,131072,10,0,5.303599e+00,0
histogram,131072,131072,10,1,5.306727e+00,0
histogram,131072,131072,10,2,5.314460e+00,0
histogram,131072,131072,10,3,5.285740e+00,0
histogram,131072,131072,10,4,5.292852e+00,0
histogram,131072,131072,10,5,5.283787e+00,0
histogram,131072,131072,10,6,5.285675e+00,0
histogram,131072,131072,10,7,5.291351e+00,0
histogram,131072,131072,10,8,5.294667e+00,0
histogram,131072,131072,10,9,5.284706e+00,0
histogram_cuda,4096,4096,10,0,1.018863e-01,0
histogram_cuda,4096,4096,10,1,1.118780e-04,0
histogram_cuda,4096,4096,10,2,1.114320e-04,0
histogram_cuda,4096,4096,10,3,1.079300e-04,0
histogram_cuda,4096,4096,10,4,1.084650e-04,0
histogram_cuda,4096,4096,10,5,1.097830e-04,0
histogram_cuda,4096,4096,10,6,1.110620e-04,0
histogram_cuda,4096,4096,10,7,1.101670e-04,0
histogram_cuda,4096,4096,10,8,1.216580e-04,0
histogram_cuda,4096,4096,10,9,1.078170e-04,0
histogram_cuda,4096,8192,10,0,7.181670e-02,0
histogram_cuda,4096,8192,10,1,1.956280e-04,0
histogram_cuda,4096,8192,10,2,1.237840e-04,0
histogram_cuda,4096,8192,10,3,1.412870e-04,0
histogram_cuda,4096,8192,10,4,1.200520e-04,0
histogram_cuda,4096,8192,10,5,1.212510e-04,0
histogram_cuda,4096,8192,10,6,1.443850e-04,0
histogram_cuda,4096,8192,10,7,1.219940e-04,0
histogram_cuda,4096,8192,10,8,1.209440e-04,0
histogram_cuda,4096,8192,10,9,1.215810e-04,0
histogram_cuda,4096,16384,10,0,6.723999e-02,1
